User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
139221274,2021-10-14 01:31:03,Spot,POS savings interest,ADA,0.0304603,
139221274,2021-10-14 02:21:10,Spot,POS savings interest,BNB,1.362E-05,
139221274,2021-10-14 09:35:57,Spot,Savings Interest,DOT,0.00061872,
139221274,2021-10-14 09:41:14,Spot,Savings Interest,LINK,3.537E-05,
139221274,2021-10-14 10:05:07,Spot,ETH 2.0 Staking Rewards,BETH,6.338E-05,
139221274,2021-10-15 01:32:57,Spot,POS savings interest,ADA,0.0304603,
139221274,2021-10-15 02:18:25,Spot,POS savings interest,BNB,1.362E-05,
139221274,2021-10-15 04:13:17,Spot,Savings Interest,LINK,3.537E-05,
139221274,2021-10-15 04:26:00,Spot,Savings Interest,DOT,0.00061872,
139221274,2021-10-16 01:34:17,Spot,POS savings interest,ADA,0.0304603,
139221274,2021-10-16 02:22:03,Spot,Savings Interest,LINK,3.537E-05,
139221274,2021-10-16 02:38:40,Spot,Savings Interest,DOT,0.00061872,
139221274,2021-10-16 03:22:42,Spot,POS savings interest,BNB,1.362E-05,
139221274,2021-10-16 03:26:30,Spot,ETH 2.0 Staking Rewards,BETH,6.336E-05,
139221274,2021-10-16 08:23:00,Spot,ETH 2.0 Staking Rewards,BETH,6.335E-05,
139221274,2021-10-17 01:21:18,Spot,POS savings interest,ADA,0.0304603,
139221274,2021-10-17 03:25:51,Spot,POS savings interest,BNB,1.362E-05,
139221274,2021-10-17 10:23:14,Spot,ETH 2.0 Staking Rewards,BETH,6.333E-05,
139221274,2021-10-18 01:23:03,Spot,POS savings interest,ADA,0.0304603,
139221274,2021-10-18 03:26:24,Spot,POS savings interest,BNB,1.362E-05,
139221274,2021-10-18 06:48:20,Spot,Savings Interest,LINK,3.537E-05,
139221274,2021-10-18 07:01:08,Spot,Savings Interest,DOT,0.00061872,
139221274,2021-10-18 09:39:03,Spot,ETH 2.0 Staking Rewards,BETH,6.331E-05,
139221274,2021-10-18 10:34:47,Spot,Savings Interest,LINK,3.537E-05,
139221274,2021-10-18 10:50:27,Spot,Savings Interest,DOT,0.00061872,
139221274,2021-10-19 01:24:11,Spot,POS savings interest,ADA,0.0304603,
139221274,2021-10-19 03:23:04,Spot,Savings Interest,LINK,3.537E-05,
139221274,2021-10-19 03:26:27,Spot,POS savings interest,BNB,1.362E-05,
139221274,2021-10-19 03:37:17,Spot,Savings Interest,DOT,0.00061872,
139221274,2021-10-19 08:58:16,Spot,ETH 2.0 Staking Rewards,BETH,6.33E-05,
139221274,2021-10-20 01:25:55,Spot,POS savings interest,ADA,0.0304603,
139221274,2021-10-20 03:22:15,Spot,Savings Interest,LINK,3.537E-05,
139221274,2021-10-20 03:26:01,Spot,POS savings interest,BNB,1.362E-05,
139221274,2021-10-20 03:35:41,Spot,Savings Interest,DOT,0.00061872,
139221274,2021-10-20 11:03:47,Spot,ETH 2.0 Staking Rewards,BETH,6.328E-05,
139221274,2021-10-21 01:28:04,Spot,POS savings interest,ADA,0.0304603,
139221274,2021-10-21 02:21:38,Spot,Savings Interest,LINK,3.537E-05,
139221274,2021-10-21 02:38:19,Spot,Savings Interest,DOT,0.00061872,
139221274,2021-10-21 03:27:37,Spot,POS savings interest,BNB,1.362E-05,
139221274,2021-10-21 09:42:51,Spot,ETH 2.0 Staking Rewards,BETH,6.327E-05,
139221274,2021-10-22 00:34:35,Spot,POS savings interest,ADA,0.0304603,
139221274,2021-10-22 02:20:37,Spot,Savings Interest,LINK,3.537E-05,
139221274,2021-10-22 02:37:03,Spot,Savings Interest,DOT,0.00061872,
139221274,2021-10-22 03:14:40,Spot,POS savings interest,BNB,1.362E-05,
139221274,2021-10-22 12:12:40,Spot,ETH 2.0 Staking Rewards,BETH,6.325E-05,
139221274,2021-10-23 00:36:23,Spot,POS savings interest,ADA,0.0304603,
139221274,2021-10-23 02:21:02,Spot,Savings Interest,LINK,3.537E-05,
